Time (EDT),Latitude,Longitude,Course,kts,mph,feet,Rate,Reporting Facility
Fri 06:22:06 AM,-8.3039,38.0457,↙ 212°,,,, Level, Estimated
Fri 06:24:05 AM,-8.5153,37.9115,↙ 212°,,,, Level, Estimated
Fri 06:26:10 AM,-8.7374,37.7704,↙ 212°,,,, Level, Estimated
Fri 06:28:10 AM,-8.9505,37.6348,↙ 212°,,,, Level, Estimated
Fri 06:30:07 AM,-9.1582,37.5024,↙ 212°,,,, Level, Estimated
Fri 06:32:10 AM,-9.3766,37.363,↙ 212°,,,, Level, Estimated
Fri 06:34:07 AM,-9.5842,37.2303,↙ 212°,,,, Level, Estimated
Fri 06:36:10 AM,-9.8024,37.0906,↙ 212°,,,, Level, Estimated
Fri 06:37:10 AM,-9.9089,37.0224,↙ 212°,,,, Level, Estimated
Fri 06:38:10 AM,-10.0153,36.9541,↙ 212°,,,, Level, Estimated
Fri 06:40:06 AM,-10.221,36.822,↙ 212°,,,, Level, Estimated
Fri 06:41:10 AM,-10.3345,36.7491,↙ 212°,,,, Level, Estimated
Fri 06:43:10 AM,-10.5472,36.6121,↙ 212°,,,, Level, Estimated
Fri 06:45:07 AM,-10.7545,36.4784,↙ 212°,,,, Level, Estimated
Fri 06:46:07 AM,-10.8608,36.4098,↙ 212°,,,, Level, Estimated
Fri 06:47:10 AM,-10.9724,36.3377,↙ 212°,,,, Level, Estimated
Fri 06:49:05 AM,-11.1761,36.2059,↙ 212°,,,, Level, Estimated
Fri 06:50:54 AM,-11.3691,36.0808,↙ 212°,,,, Level, Estimated
Fri 06:52:09 AM,-11.5019,35.9947,↙ 212°,,,, Level, Estimated
Fri 06:54:07 AM,-11.7107,35.859,↙ 212°,,,, Level, Estimated
Fri 06:55:59 AM,-11.9089,35.73,↙ 212°,,,, Level, Estimated
Fri 06:57:03 AM,-12.0221,35.6561,↙ 213°,,,, Level, Estimated
Fri 06:59:10 AM,-12.2467,35.5095,↙ 213°,,,, Level, Estimated
Fri 07:01:03 AM,-12.4464,35.3788,↙ 213°,,,, Level, Estimated
Fri 07:02:07 AM,-12.5595,35.3047,↙ 213°,,,, Level, Estimated
Fri 07:03:41 AM,-12.9926,34.4582,↙ 217°,482,555,"34,000", Level, FlightAware ADS-B (FWKK)
Fri 07:04:18 AM,-13.0588,34.4069,↙ 217°,482,555,"34,000", Level, FlightAware ADS-B (FWKK)
Fri 07:05:19 AM,-13.1665,34.3232,↙ 217°,480,552,"34,000", Level, FlightAware ADS-B (FWKK)
Fri 07:05:49 AM,-13.2193,34.2813,↙ 218°,480,552,"34,000", Level, FlightAware ADS-B (FWKK)
Fri 07:06:20 AM,-13.2753,34.2363,↙ 218°,479,551,"34,000", Level, FlightAware ADS-B (FWKK)
Fri 07:06:58 AM,-13.3411,34.1864,↙ 216°,481,554,"34,000", Level, FlightAware ADS-B (FWKK)
Fri 07:07:28 AM,-13.3965,34.1468,↙ 215°,481,554,"34,000", Level, FlightAware ADS-B (FWKK)
Fri 07:07:58 AM,-13.452,34.1084,↙ 214°,481,554,"34,000", Level, FlightAware ADS-B (FWKK)
Fri 07:08:28 AM,-13.5075,34.0704,↙ 214°,482,555,"34,000", Level, FlightAware ADS-B (FWKK)
Fri 07:08:58 AM,-13.563,34.0325,↙ 214°,480,552,"34,000", Level, FlightAware ADS-B (FWKK)
Fri 07:09:28 AM,-13.6193,33.9941,↙ 214°,481,554,"34,000", Level, FlightAware ADS-B (FWKK)
Fri 07:09:58 AM,-13.6739,33.9568,↙ 214°,480,552,"34,000", Level, FlightAware ADS-B (FWKK)
Fri 07:10:28 AM,-13.7306,33.918,↙ 214°,479,551,"34,000", Level, FlightAware ADS-B (FWKK)
Fri 07:11:28 AM,-13.8406,33.8424,↙ 214°,478,550,"34,000", Level, FlightAware ADS-B (FWKK)
Fri 07:11:58 AM,-13.8968,33.8036,↙ 214°,478,550,"34,000", Level, FlightAware ADS-B (FWKK)
Fri 07:12:28 AM,-13.9515,33.7659,↙ 214°,476,548,"34,000", Level, FlightAware ADS-B (FWKK)
Fri 07:12:58 AM,-14.006,33.7283,↙ 214°,477,549,"34,000", Level, FlightAware ADS-B (FWKK)
Fri 07:13:28 AM,-14.0615,33.6899,↙ 214°,476,548,"34,000", Level, FlightAware ADS-B (FWKK)
Fri 07:13:58 AM,-14.1157,33.6525,↙ 214°,475,547,"34,000", Level, FlightAware ADS-B (FWKK)
Fri 07:14:28 AM,-14.1712,33.6141,↙ 214°,475,547,"34,000", Level, FlightAware ADS-B (FWKK)
Fri 07:15:28 AM,-14.282,33.5374,↙ 214°,475,547,"34,000", Level, FlightAware ADS-B (FWKK)
Fri 07:16:28 AM,-14.3917,33.4614,↙ 214°,475,547,"34,000", Level, FlightAware ADS-B (FWKK)
Fri 07:17:27 AM,-14.4989,33.3871,↙ 214°,475,547,"34,000", Level, FlightAware ADS-B (FWKK)
Fri 07:17:59 AM,-14.5547,33.3483,↙ 214°,473,544,"34,000", Level, FlightAware ADS-B (FWKK)
Fri 07:18:29 AM,-14.6092,33.3104,↙ 214°,472,543,"34,000", Level, FlightAware ADS-B (FWKK)
Fri 07:18:59 AM,-14.6652,33.2716,↙ 214°,471,542,"34,000", Level, FlightAware ADS-B (FWKK)
Fri 07:20:49 AM,-14.8611,33.1454,↙ 212°,,,, Level, Estimated
Fri 07:22:04 AM,-14.9946,33.0592,↙ 212°,,,, Level, Estimated
Fri 07:22:35 AM,-15.0638,33.0063,↙ 210°,477,549,"34,000", Level, FlightAware ADS-B (FWKK)
Fri 07:25:01 AM,-15.3236,32.8381,↙ 212°,,,, Level, Estimated
Fri 07:25:56 AM,-15.4523,32.776,↙ 210°,482,555,"34,000", Level, FlightAware ADS-B (FVCP)
Fri 07:26:44 AM,-15.544,32.7212,↙ 211°,481,554,"34,000", Level, FlightAware ADS-B (FVCP)
Fri 07:27:33 AM,-15.6369,32.6594,↙ 214°,478,550,"34,000", Level, FlightAware ADS-B (FVCP)
Fri 07:28:03 AM,-15.692,32.6211,↙ 214°,478,550,"34,000", Level, FlightAware ADS-B (FVCP)
Fri 07:28:33 AM,-15.7471,32.5826,↙ 214°,480,552,"34,000", Level, FlightAware ADS-B (FVCP)
Fri 07:29:03 AM,-15.8033,32.5433,↙ 214°,481,554,"34,000", Level, FlightAware ADS-B (FVCP)
Fri 07:29:33 AM,-15.8584,32.5047,↙ 214°,480,552,"34,000", Level, FlightAware ADS-B (FVCP)
Fri 07:30:04 AM,-15.9141,32.4658,↙ 214°,480,552,"34,000", Level, FlightAware ADS-B (FVCP)
Fri 07:30:34 AM,-15.9701,32.4267,↙ 214°,481,554,"34,000", Level, FlightAware ADS-B (FVCP)
Fri 07:31:04 AM,-16.0258,32.3877,↙ 214°,482,555,"34,000", Level, FlightAware ADS-B (FVCP)
Fri 07:31:34 AM,-16.0811,32.349,↙ 214°,481,554,"34,000", Level, FlightAware ADS-B (FVCP)
Fri 07:32:04 AM,-16.1362,32.3102,↙ 214°,481,554,"34,000", Level, FlightAware ADS-B (FVCP)
Fri 07:32:34 AM,-16.192,32.2711,↙ 214°,481,554,"34,000", Level, FlightAware ADS-B (FVCP)
Fri 07:33:04 AM,-16.2477,32.232,↙ 214°,482,555,"34,000", Level, FlightAware ADS-B (FVCP)
Fri 07:33:34 AM,-16.3039,32.1925,↙ 214°,482,555,"34,000", Level, FlightAware ADS-B (FVCP)
Fri 07:34:04 AM,-16.359,32.1537,↙ 214°,483,556,"34,000", Level, FlightAware ADS-B (FVCP)
Fri 07:34:48 AM,-16.4399,32.0933,↙ 218°,482,555,"34,000", Level, FlightAware ADS-B (FVCP)
Fri 07:35:26 AM,-16.5043,32.0366,↙ 221°,481,554,"34,000", Level, FlightAware ADS-B (HRE / FVRG)
Fri 07:35:58 AM,-16.558,31.9882,↙ 221°,480,552,"34,000", Level, FlightAware ADS-B (FVCP)
Fri 07:36:37 AM,-16.6225,31.9299,↙ 221°,478,550,"34,000", Level, FlightAware ADS-B (HRE / FVRG)
Fri 07:37:07 AM,-16.6736,31.8836,↙ 221°,480,552,"34,000", Level, FlightAware ADS-B (HRE / FVRG)
Fri 07:37:38 AM,-16.7246,31.8376,↙ 221°,481,554,"34,000", Level, FlightAware ADS-B (HRE / FVRG)
Fri 07:38:11 AM,-16.7801,31.7873,↙ 221°,481,554,"34,000", Level, FlightAware ADS-B (FVCP)
Fri 07:38:41 AM,-16.8311,31.7412,↙ 221°,481,554,"34,000", Level, FlightAware ADS-B (FVCP)
Fri 07:39:11 AM,-16.8817,31.6954,↙ 221°,481,554,"34,000", Level, FlightAware ADS-B (FVCP)
Fri 07:39:41 AM,-16.9323,31.6495,↙ 221°,483,556,"34,000", Level, FlightAware ADS-B (FVCP)
Fri 07:40:11 AM,-16.9823,31.6041,↙ 221°,483,556,"34,000", Level, FlightAware ADS-B (HRE / FVRG)
Fri 07:40:41 AM,-17.0332,31.5579,↙ 221°,483,556,"34,000", Level, FlightAware ADS-B (HRE / FVRG)
Fri 07:41:11 AM,-17.0843,31.5114,↙ 221°,485,558,"34,000",-25 Descending, FlightAware ADS-B (HRE / FVRG)
Fri 07:41:41 AM,-17.1348,31.4655,↙ 221°,484,557,"33,975", Level, FlightAware ADS-B (HRE / FVRG)
Fri 07:42:11 AM,-17.1855,31.4193,↙ 221°,484,557,"34,000",25 Climbing, FlightAware ADS-B (HRE / FVRG)
Fri 07:42:41 AM,-17.2362,31.3733,↙ 221°,483,556,"34,000", Level, FlightAware ADS-B (HRE / FVRG)
Fri 07:43:11 AM,-17.2873,31.3267,↙ 221°,482,555,"34,000", Level, FlightAware ADS-B (HRE / FVRG)
Fri 07:43:41 AM,-17.3371,31.2813,↙ 221°,480,552,"34,000", Level, FlightAware ADS-B (HRE / FVRG)
Fri 07:44:11 AM,-17.3875,31.2353,↙ 221°,481,554,"34,000", Level, FlightAware ADS-B (HRE / FVRG)
Fri 07:44:50 AM,-17.4527,31.1757,↙ 221°,482,555,"34,000", Level, FlightAware ADS-B (FVCP)
Fri 07:45:20 AM,-17.5033,31.1293,↙ 221°,483,556,"34,000", Level, FlightAware ADS-B (FVCP)
Fri 07:46:11 AM,-17.5882,31.0516,↙ 221°,483,556,"34,000", Level, FlightAware ADS-B (HRE / FVRG)
Fri 07:46:41 AM,-17.6398,31.0043,↙ 221°,485,558,"34,000", Level, FlightAware ADS-B (HRE / FVRG)
Fri 07:47:11 AM,-17.6913,30.9572,↙ 221°,485,558,"34,000", Level, FlightAware ADS-B (HRE / FVRG)
Fri 07:47:42 AM,-17.7418,30.9108,↙ 221°,484,557,"34,000", Level, FlightAware ADS-B (HRE / FVRG)
Fri 07:48:20 AM,-17.8072,30.8507,↙ 221°,484,557,"34,000",-22 Descending, FlightAware ADS-B (FVCP)
Fri 07:48:51 AM,-17.8583,30.8037,↙ 221°,483,556,"33,975", Level, FlightAware ADS-B (FVCP)
Fri 07:49:21 AM,-17.9082,30.7578,↙ 221°,483,556,"34,000",25 Climbing, FlightAware ADS-B (FVCP)
Fri 07:49:51 AM,-17.9586,30.7114,↙ 221°,483,556,"34,000", Level, FlightAware ADS-B (FVCP)
Fri 07:50:21 AM,-18.0085,30.6654,↙ 221°,483,556,"34,000", Level, FlightAware ADS-B (FVCP)
Fri 07:50:51 AM,-18.0601,30.6178,↙ 221°,483,556,"34,000", Level, FlightAware ADS-B (FVCP)
Fri 07:51:21 AM,-18.1105,30.5713,↙ 221°,483,556,"34,000", Level, FlightAware ADS-B (FVCP)
Fri 07:52:12 AM,-18.1963,30.4919,↙ 222°,482,555,"34,000", Level, FlightAware ADS-B (HRE / FVRG)
Fri 07:52:42 AM,-18.2463,30.4457,↙ 221°,481,554,"34,000", Level, FlightAware ADS-B (HRE / FVRG)
Fri 07:53:12 AM,-18.2965,30.3992,↙ 221°,481,554,"34,000", Level, FlightAware ADS-B (HRE / FVRG)
Fri 07:53:42 AM,-18.347,30.3524,↙ 222°,481,554,"34,000", Level, FlightAware ADS-B (HRE / FVRG)
Fri 07:54:12 AM,-18.3968,30.3063,↙ 222°,481,554,"34,000", Level, FlightAware ADS-B (HRE / FVRG)
Fri 07:54:42 AM,-18.4471,30.2596,↙ 222°,480,552,"34,000", Level, FlightAware ADS-B (HRE / FVRG)
Fri 07:55:12 AM,-18.4969,30.2133,↙ 222°,480,552,"34,000", Level, FlightAware ADS-B (HRE / FVRG)
Fri 07:55:42 AM,-18.5463,30.1674,↙ 222°,480,552,"34,000", Level, FlightAware ADS-B (HRE / FVRG)
Fri 07:56:12 AM,-18.5964,30.1208,↙ 222°,480,552,"34,000", Level, FlightAware ADS-B (HRE / FVRG)
Fri 07:56:42 AM,-18.6466,30.074,↙ 222°,479,551,"34,000", Level, FlightAware ADS-B (HRE / FVRG)
Fri 07:57:12 AM,-18.6962,30.0278,↙ 222°,479,551,"34,000", Level, FlightAware ADS-B (HRE / FVRG)
Fri 07:57:51 AM,-18.7627,29.9658,↙ 222°,479,551,"34,000", Level, FlightAware ADS-B (FVCP)
Fri 07:58:21 AM,-18.8124,29.9194,↙ 222°,479,551,"34,000", Level, FlightAware ADS-B (FVCP)
Fri 07:59:13 AM,-18.8961,29.8412,↙ 222°,480,552,"34,000", Level, FlightAware ADS-B (HRE / FVRG)
Fri 07:59:58 AM,-18.9769,29.7718,↙ 217°,481,554,"34,000", Level, FlightAware ADS-B (FVCP)
Fri 08:00:28 AM,-19.0305,29.7293,↙ 217°,481,554,"34,000", Level, FlightAware ADS-B (FVCP)
Fri 08:00:59 AM,-19.0836,29.6873,↙ 217°,481,554,"34,000", Level, FlightAware ADS-B (FVCP)
Fri 08:01:30 AM,-19.1379,29.6443,↙ 217°,481,554,"34,000", Level, FlightAware ADS-B (FVCP)
Fri 08:02:00 AM,-19.1913,29.6021,↙ 217°,481,554,"34,000", Level, FlightAware ADS-B (FVCP)
Fri 08:02:30 AM,-19.2452,29.5594,↙ 217°,480,552,"34,000", Level, FlightAware ADS-B (FVCP)
Fri 08:03:00 AM,-19.2982,29.5173,↙ 217°,478,550,"34,000", Level, FlightAware ADS-B (FVCP)
Fri 08:03:30 AM,-19.3517,29.4749,↙ 217°,477,549,"34,000", Level, FlightAware ADS-B (FVCP)
Fri 08:04:25 AM,-19.4474,29.3988,↙ 217°,476,548,"34,000", Level, FlightAware ADS-B (FVCP)
Fri 08:05:17 AM,-19.5404,29.3248,↙ 217°,476,548,"34,000",388 Climbing, FlightAware ADS-B (FVCP)
Fri 08:05:50 AM,-19.5989,29.2784,↙ 217°,475,547,"34,550","1,429 Climbing", FlightAware ADS-B (FVCP)
Fri 08:06:20 AM,-19.6517,29.2364,↙ 217°,469,540,"35,500","1,106 Climbing", FlightAware ADS-B (FVCP)
Fri 08:07:10 AM,-19.7378,29.1677,↙ 217°,460,529,"36,025",370 Climbing, FlightAware ADS-B (FVCP)
Fri 08:07:41 AM,-19.7894,29.1265,↙ 217°,458,527,"36,000",-17 Descending, FlightAware ADS-B (FVCP)
Fri 08:08:39 AM,-19.8866,29.0489,↙ 217°,455,524,"36,000", Level, FlightAware ADS-B (FVCP)
Fri 08:09:11 AM,-19.9418,29.0047,↙ 217°,456,525,"36,000", Level, FlightAware ADS-B (FVCP)
Fri 08:10:10 AM,-20.0398,28.9263,↙ 217°,454,522,"36,000", Level, FlightAware ADS-B (FVCP)
Fri 08:10:41 AM,-20.0921,28.8844,↙ 217°,454,522,"36,000", Level, FlightAware ADS-B (FVCP)
Fri 08:12:58 AM,-20.3379,28.7255,↙ 211°,,,, Level, Estimated
Fri 08:14:07 AM,-20.4616,28.6453,↙ 211°,,,, Level, Estimated
Fri 08:15:08 AM,-20.5709,28.5743,↙ 211°,,,, Level, Estimated
Fri 08:15:30 AM,-20.5761,28.4935,↙ 218°,452,520,"36,000", Level, FlightAware ADS-B (PKW / FBSP)
Fri 08:16:00 AM,-20.6265,28.4526,↙ 217°,450,518,"36,000", Level, FlightAware ADS-B (PKW / FBSP)
Fri 08:16:30 AM,-20.6756,28.4128,↙ 217°,450,518,"36,000", Level, FlightAware ADS-B (PKW / FBSP)
Fri 08:17:01 AM,-20.7267,28.3713,↙ 218°,450,518,"36,000", Level, FlightAware ADS-B (PKW / FBSP)
Fri 08:17:57 AM,-20.8196,28.2957,↙ 218°,454,522,"36,000", Level, FlightAware ADS-B (PKW / FBSP)
Fri 08:18:30 AM,-20.8769,28.2489,↙ 218°,456,525,"36,000", Level, FlightAware ADS-B (PKW / FBSP)
Fri 08:19:01 AM,-20.928,28.2072,↙ 217°,457,526,"36,000", Level, FlightAware ADS-B (PKW / FBSP)
Fri 08:19:31 AM,-20.9787,28.1658,↙ 218°,456,525,"36,000", Level, FlightAware ADS-B (PKW / FBSP)
Fri 08:20:01 AM,-21.0286,28.1251,↙ 217°,457,526,"36,000", Level, FlightAware ADS-B (PKW / FBSP)
Fri 08:20:31 AM,-21.0793,28.0837,↙ 217°,457,526,"36,000", Level, FlightAware ADS-B (PKW / FBSP)
Fri 08:21:01 AM,-21.1301,28.0423,↙ 218°,456,525,"36,000", Level, FlightAware ADS-B (PKW / FBSP)
Fri 08:21:31 AM,-21.1804,28.0008,↙ 218°,456,525,"36,000", Level, FlightAware ADS-B (PKW / FBSP)
Fri 08:22:01 AM,-21.2304,27.9598,↙ 218°,456,525,"36,000", Level, FlightAware ADS-B (PKW / FBSP)
Fri 08:22:31 AM,-21.2815,27.918,↙ 217°,458,527,"36,000", Level, FlightAware ADS-B (PKW / FBSP)
Fri 08:23:10 AM,-21.3486,27.8717,↙ 210°,460,529,"36,000", Level, FlightAware ADS-B (PKW / FBSP)
Fri 08:23:40 AM,-21.4052,27.838,↙ 209°,460,529,"36,000", Level, FlightAware ADS-B (PKW / FBSP)
Fri 08:24:10 AM,-21.4611,27.8049,↙ 209°,460,529,"36,000", Level, FlightAware ADS-B (PKW / FBSP)
Fri 08:24:40 AM,-21.5174,27.7713,↙ 210°,459,528,"36,000", Level, FlightAware ADS-B (PKW / FBSP)
Fri 08:25:26 AM,-21.602,27.7172,↙ 212°,462,532,"36,000", Level, FlightAware ADS-B (PKW / FBSP)
Fri 08:25:56 AM,-21.6569,27.6804,↙ 212°,463,533,"36,000", Level, FlightAware ADS-B (PKW / FBSP)
Fri 08:26:26 AM,-21.7109,27.6435,↙ 213°,465,535,"36,000", Level, FlightAware ADS-B (PKW / FBSP)
Fri 08:26:56 AM,-21.7659,27.6054,↙ 213°,466,536,"36,000", Level, FlightAware ADS-B (PKW / FBSP)
Fri 08:27:26 AM,-21.8193,27.5684,↙ 213°,468,539,"36,000",25 Climbing, FlightAware ADS-B (PKW / FBSP)
Fri 08:27:57 AM,-21.8758,27.5294,↙ 213°,467,537,"36,025", Level, FlightAware ADS-B (PKW / FBSP)
Fri 08:28:27 AM,-21.9298,27.4922,↙ 213°,468,539,"36,000", Level, FlightAware ADS-B (PKW / FBSP)
Fri 08:29:27 AM,-22.0409,27.4157,↙ 213°,472,543,"36,025", Level, FlightAware ADS-B (PKW / FBSP)
Fri 08:30:18 AM,-22.1365,27.3498,↙ 213°,473,544,"36,000",-18 Descending, FlightAware ADS-B (PTG / FAPP)
Fri 08:30:52 AM,-22.1978,27.3075,↙ 213°,473,544,"36,000", Level, FlightAware ADS-B (PKW / FBSP)
Fri 08:31:22 AM,-22.2538,27.2689,↙ 213°,473,544,"36,000", Level, FlightAware ADS-B (PKW / FBSP)
Fri 08:31:55 AM,-22.3122,27.2285,↙ 213°,470,541,"36,000", Level, FlightAware ADS-B (PKW / FBSP)
Fri 08:32:26 AM,-22.371,27.1878,↙ 213°,472,543,"36,000", Level, FlightAware ADS-B (PKW / FBSP)
Fri 08:32:56 AM,-22.4254,27.1501,↙ 213°,472,543,"36,000", Level, FlightAware ADS-B (PKW / FBSP)
Fri 08:33:26 AM,-22.4811,27.1116,↙ 213°,471,542,"36,000", Level, FlightAware ADS-B (PKW / FBSP)
Fri 08:33:56 AM,-22.5375,27.0724,↙ 213°,472,543,"36,000", Level, FlightAware ADS-B (PKW / FBSP)
Fri 08:34:27 AM,-22.5932,27.0336,↙ 213°,475,547,"36,000", Level, FlightAware ADS-B (PKW / FBSP)
Fri 08:34:57 AM,-22.6492,26.9947,↙ 213°,477,549,"36,000", Level, FlightAware ADS-B (PKW / FBSP)
Fri 08:35:27 AM,-22.7046,26.9562,↙ 213°,477,549,"36,000", Level, FlightAware ADS-B (PKW / FBSP)
Fri 08:36:01 AM,-22.7695,26.9109,↙ 213°,478,550,"36,000", Level, FlightAware ADS-B (HLA / FALA)
Fri 08:36:31 AM,-22.825,26.8723,↙ 213°,478,550,"36,000", Level, FlightAware ADS-B (HLA / FALA)
Fri 08:37:01 AM,-22.8799,26.8338,↙ 213°,475,547,"36,000", Level, FlightAware ADS-B (HLA / FALA)
Fri 08:37:31 AM,-22.9363,26.7944,↙ 213°,474,545,"36,000", Level, FlightAware ADS-B (HLA / FALA)
Fri 08:38:01 AM,-22.9901,26.7568,↙ 213°,472,543,"36,000", Level, FlightAware ADS-B (HLA / FALA)
Fri 08:38:31 AM,-23.0468,26.7171,↙ 213°,469,540,"36,000", Level, FlightAware ADS-B (HLA / FALA)
Fri 08:39:01 AM,-23.101,26.6792,↙ 213°,469,540,"36,000", Level, FlightAware ADS-B (HLA / FALA)
Fri 08:39:31 AM,-23.1558,26.6408,↙ 213°,470,541,"36,000", Level, FlightAware ADS-B (HLA / FALA)
Fri 08:40:15 AM,-23.235,26.585,↙ 213°,472,543,"36,000", Level, FlightAware ADS-B (WKF / FAWK)
Fri 08:41:01 AM,-23.3215,26.5242,↙ 213°,473,544,"36,000", Level, FlightAware ADS-B (HLA / FALA)
Fri 08:41:45 AM,-23.4002,26.4687,↙ 213°,473,544,"36,000", Level, FlightAware ADS-B (WKF / FAWK)
Fri 08:42:15 AM,-23.4554,26.4297,↙ 213°,473,544,"36,000", Level, FlightAware ADS-B (WKF / FAWK)
Fri 08:42:46 AM,-23.5108,26.3906,↙ 213°,473,544,"36,000", Level, FlightAware ADS-B (WKF / FAWK)
Fri 08:43:16 AM,-23.5657,26.3518,↙ 213°,471,542,"36,000", Level, FlightAware ADS-B (WKF / FAWK)
Fri 08:43:46 AM,-23.6213,26.3125,↙ 213°,470,541,"36,000", Level, FlightAware ADS-B (WKF / FAWK)
Fri 08:44:16 AM,-23.6762,26.2736,↙ 213°,470,541,"36,000", Level, FlightAware ADS-B (WKF / FAWK)
Fri 08:44:46 AM,-23.7299,26.2355,↙ 213°,470,541,"36,000", Level, FlightAware ADS-B (WKF / FAWK)
Fri 08:45:16 AM,-23.7863,26.1955,↙ 213°,469,540,"36,000", Level, FlightAware ADS-B (WKF / FAWK)
Fri 08:46:01 AM,-23.8705,26.1357,↙ 213°,467,537,"36,000", Level, FlightAware ADS-B (HLA / FALA)
Fri 08:46:31 AM,-23.9199,26.1005,↙ 213°,465,535,"36,000", Level, FlightAware ADS-B (WKF / FAWK)
Fri 08:47:01 AM,-23.9751,26.0612,↙ 213°,463,533,"36,000", Level, FlightAware ADS-B (FAKR)
Fri 08:47:36 AM,-24.0378,26.0164,↙ 213°,462,532,"36,000", Level, FlightAware ADS-B (FALI)
Fri 08:48:12 AM,-24.1034,25.9695,↙ 213°,461,531,"36,000", Level, FlightAware ADS-B (FAKR)
Fri 08:48:42 AM,-24.1571,25.9312,↙ 213°,461,531,"36,000", Level, FlightAware ADS-B (GBE / FBSK)
Fri 08:49:12 AM,-24.2109,25.8928,↙ 213°,461,531,"36,000", Level, FlightAware ADS-B (GBE / FBSK)
Fri 08:49:42 AM,-24.2646,25.8542,↙ 213°,461,531,"36,000", Level, FlightAware ADS-B (GBE / FBSK)
Fri 08:50:12 AM,-24.318,25.816,↙ 213°,461,531,"36,000", Level, FlightAware ADS-B (GBE / FBSK)
Fri 08:50:42 AM,-24.3718,25.7773,↙ 213°,461,531,"36,000", Level, FlightAware ADS-B (GBE / FBSK)
Fri 08:51:12 AM,-24.4253,25.739,↙ 213°,461,531,"36,000", Level, FlightAware ADS-B (GBE / FBSK)
Fri 08:51:42 AM,-24.4778,25.7012,↙ 213°,461,531,"36,000", Level, FlightAware ADS-B (GBE / FBSK)
Fri 08:52:12 AM,-24.5314,25.6625,↙ 213°,461,531,"36,000", Level, FlightAware ADS-B (FAKR)
Fri 08:52:43 AM,-24.5862,25.6231,↙ 213°,461,531,"36,000", Level, FlightAware ADS-B (GBE / FBSK)
Fri 08:53:13 AM,-24.6402,25.5841,↙ 213°,461,531,"36,000", Level, FlightAware ADS-B (GBE / FBSK)
Fri 08:53:43 AM,-24.6926,25.5463,↙ 214°,460,529,"36,000", Level, FlightAware ADS-B (GBE / FBSK)
Fri 08:54:13 AM,-24.747,25.5069,↙ 214°,460,529,"36,000", Level, FlightAware ADS-B (GBE / FBSK)
Fri 08:54:43 AM,-24.8001,25.4684,↙ 213°,459,528,"36,000", Level, FlightAware ADS-B (GBE / FBSK)
Fri 08:55:13 AM,-24.8562,25.4279,↙ 214°,460,529,"36,000", Level, FlightAware ADS-B (FALI)
Fri 08:55:43 AM,-24.9066,25.3912,↙ 214°,460,529,"36,000", Level, FlightAware ADS-B (GBE / FBSK)
Fri 08:56:13 AM,-24.9606,25.3521,↙ 214°,460,529,"36,000", Level, FlightAware ADS-B (GBE / FBSK)
Fri 08:56:59 AM,-25.0437,25.2917,↙ 214°,462,532,"36,000", Level, FlightAware ADS-B (HLA / FALA)
Fri 08:57:27 AM,-25.0921,25.2564,↙ 215°,460,529,"36,000", Level, FlightAware ADS-B (JNB / FAOR)
Fri 08:58:02 AM,-25.155,25.2106,↙ 214°,461,531,"36,000", Level, FlightAware ADS-B (FATW)
Fri 08:58:43 AM,-25.2277,25.1575,↙ 214°,461,531,"36,000", Level, FlightAware ADS-B (GBE / FBSK)
Fri 08:59:32 AM,-25.3157,25.0932,↙ 214°,462,532,"36,000", Level, FlightAware ADS-B (FATW)
Fri 09:00:02 AM,-25.3704,25.0532,↙ 214°,462,532,"36,000", Level, FlightAware ADS-B (FATW)
Fri 09:00:32 AM,-25.424,25.0139,↙ 214°,463,533,"36,000", Level, FlightAware ADS-B (FATW)
Fri 09:01:02 AM,-25.4785,24.974,↙ 214°,462,532,"36,000", Level, FlightAware ADS-B (FATW)
Fri 09:01:33 AM,-25.5321,24.9345,↙ 214°,463,533,"36,000", Level, FlightAware ADS-B (FATW)
Fri 09:02:03 AM,-25.5857,24.8951,↙ 214°,463,533,"36,000", Level, FlightAware ADS-B (FATW)
Fri 09:02:33 AM,-25.6391,24.8559,↙ 214°,464,534,"36,000", Level, FlightAware ADS-B (FATW)
Fri 09:03:03 AM,-25.6934,24.8158,↙ 214°,465,535,"36,000", Level, FlightAware ADS-B (FATW)
Fri 09:03:33 AM,-25.7473,24.776,↙ 214°,467,537,"36,000", Level, FlightAware ADS-B (FATW)
Fri 09:04:03 AM,-25.8012,24.7359,↙ 215°,467,537,"36,000", Level, FlightAware ADS-B (FATW)
Fri 09:04:38 AM,-25.8608,24.6864,↙ 219°,463,533,"36,000", Level, FlightAware ADS-B (FATP)
Fri 09:05:09 AM,-25.9108,24.6404,↙ 220°,464,534,"36,000", Level, FlightAware ADS-B (FATP)
Fri 09:05:44 AM,-25.9687,24.5871,↙ 220°,462,532,"36,000", Level, FlightAware ADS-B (KIM / FAKM)
Fri 09:06:14 AM,-26.0179,24.5416,↙ 220°,460,529,"36,000", Level, FlightAware ADS-B (KIM / FAKM)
Fri 09:06:44 AM,-26.066,24.4972,↙ 220°,459,528,"36,000", Level, FlightAware ADS-B (KIM / FAKM)
Fri 09:07:14 AM,-26.1153,24.4516,↙ 220°,459,528,"36,000", Level, FlightAware ADS-B (KIM / FAKM)
Fri 09:07:44 AM,-26.1645,24.4059,↙ 220°,459,528,"36,000", Level, FlightAware ADS-B (KIM / FAKM)
